include,race_slug,committee_id,committee_name,notes
yes,st-gov,32762,JB for Governor,format example — ISBE already links this, so the row changes nothing
yes,hd7,19328,People for Emanuel Chris Welch,format example — ISBE already links this, so the row changes nothing
no,chi-mayor,34953,Susana Mendoza For Mayor,excluded editorially; Susana For Chicago is the committee we follow for this race
no,st-ag,40964,Andy for AG,Andy Williams Jr. lost the 2026 primary; statewide races follow general-election candidates only
no,st-comptroller,32198,Friends of Holly Kim,Holly Kim lost the 2026 primary; statewide races follow general-election candidates only
no,st-comptroller,33922,Citizens For Karina Villa,Karina Villa lost the 2026 primary; statewide races follow general-election candidates only
no,st-comptroller,40807,Kifowit for Comptroller,Stephanie Kifowit lost the 2026 primary; statewide races follow general-election candidates only
no,st-gov,27398,Mendrick For Governor,James Mendrick lost the 2026 primary; statewide races follow general-election candidates only
no,st-gov,40825,Ted for Illinois,Ted Dabrowski lost the 2026 primary; statewide races follow general-election candidates only
no,st-gov,40926,Rick For Illinois Inc,Rick Heidner lost the 2026 primary; statewide races follow general-election candidates only
no,st-gov,41156,Eimer for Illinois,Taegun Eimer did not make the 2026 general ballot (ISBE WonLost=nob)
no,st-ltgov,36913,Mayor Christina for Homer Glen,Christina Neitzke-Troike lost the 2026 primary; statewide races follow general-election candidates only
no,st-sos,40793,Walter for Illinois,Walter Adamczyk lost the 2026 primary; statewide races follow general-election candidates only
